statement	score	confidence
Bromodichloromethane	2B	possibly carcinogenic
Vinylidene chloride	2B	possibly carcinogenic
Nitromethane	2B	possibly carcinogenic
2-Methylaziridine (Propyleneimine)	2B	possibly carcinogenic
Propylene oxide	2B	possibly carcinogenic
Dimethylarsinic acid	2B	possibly carcinogenic
"1,3-Dinitropyrene"	2B	possibly carcinogenic
Trichloroacetic acid	2B	possibly carcinogenic
Heptachlor	2B	possibly carcinogenic
Glycidaldehyde	2B	possibly carcinogenic
Phenolphthalein	2B	possibly carcinogenic
"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)"	2B	possibly carcinogenic
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone	2B	possibly carcinogenic
"MeIQx (2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline)"	2B	possibly carcinogenic
Potassium bromate	2B	possibly carcinogenic
Isophorone	2B	possibly carcinogenic
Isoprene	2B	possibly carcinogenic
"1,1,2,2-Tetrachloroethane"	2B	possibly carcinogenic
Dichloroacetic acid	2B	possibly carcinogenic
2-Nitropropane	2B	possibly carcinogenic
Panfuran S (containing dihydroxymethylfuratrizine)	2B	possibly carcinogenic
Toxaphene (Polychlorinated camphenes)	2B	possibly carcinogenic
"Bitumens, occupational exposure to straight-run bitumens and their emissions during road paving"	2B	possibly carcinogenic
"1-Amino-2,4-dibromoanthraquinone"	2B	possibly carcinogenic
Trichlormethine (Trimustine hydrochloride)	2B	possibly carcinogenic
4-Methylimidazole	2B	possibly carcinogenic
"4,4'-Methylene bis(2-methylaniline)"	2B	possibly carcinogenic
Anthraquinone	2B	possibly carcinogenic
Carbazole	2B	possibly carcinogenic
Dimethyl hydrogen phosphite	2B	possibly carcinogenic
"2,6-Dimethylaniline (2,6-Xylidine)"	2B	possibly carcinogenic
"2,4,6-Trichlorophenol (see also Polychlorophenols)"	2B	possibly carcinogenic
2-Chloronitrobenzene	2B	possibly carcinogenic
"1,4-Dichloro-2-nitrobenzene"	2B	possibly carcinogenic
Pulegone	2B	possibly carcinogenic
"Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone]"	2B	possibly carcinogenic
Kava extract	2B	possibly carcinogenic
Iron-dextran complex	2B	possibly carcinogenic
Ginkgo biloba extract	2B	possibly carcinogenic
Naphthalene	2B	possibly carcinogenic
Quinoline	2B	possibly carcinogenic
"3,3'-Dichlorobenzidine"	2B	possibly carcinogenic
N-Nitrosodi-n-butylamine	2B	possibly carcinogenic
N-Methylolacrylamide	2B	possibly carcinogenic
N-Nitrosopyrrolidine	2B	possibly carcinogenic
Dihydrosafrole	2B	possibly carcinogenic
Safrole	2B	possibly carcinogenic
"2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides)"	2B	possibly carcinogenic
Sulfallate	2B	possibly carcinogenic
ortho-Phenylenediamine	2B	possibly carcinogenic
"2,4-Diaminotoluene"	2B	possibly carcinogenic
4-Chloro-ortho-phenylenediamine	2B	possibly carcinogenic
2-Amino-4-chlorophenol	2B	possibly carcinogenic
"1,2-Dibromo-3-chloropropane"	2B	possibly carcinogenic
"2,3-Dibromopropan-1-ol"	2B	possibly carcinogenic
"1,3-Dichloro-2-propanol"	2B	possibly carcinogenic
"3-Monochloro-1,2-propanediol"	2B	possibly carcinogenic
Methyl acrylate	2B	possibly carcinogenic
Isoeugenol	2B	possibly carcinogenic
ortho-Aminoazotoluene	2B	possibly carcinogenic
Butyl methacrylate	2B	possibly carcinogenic
Furfuryl alcohol	2B	possibly carcinogenic
4-Chlorobenzotrifluoride	2B	possibly carcinogenic
Cumene	2B	possibly carcinogenic
α-Methylstyrene	2B	possibly carcinogenic
Nitrobenzene	2B	possibly carcinogenic
"N,N-Dimethyl-p-toluidine"	2B	possibly carcinogenic
"Fusarium graminearum, F. culmorum, and F. crookwellense, toxins derived from (zearalenone, deoxynivalenol, nivalenol, and fusarenone X)"	3	not classifiable
"Fusarium sporotrichioides, toxins derived from (T-2 toxin)"	3	not classifiable
Microcystis extracts	3	not classifiable
Opisthorchis felineus (infection with)	3	not classifiable
Schistosoma mansoni (infection with)	3	not classifiable
Acrylic fibres	3	not classifiable
Acrylonitrile-butadiene-styrene copolymers	3	not classifiable
"Anaesthetics, volatile"	3	not classifiable
Bisulfites	3	not classifiable
Calcium carbide production	3	not classifiable
Ceramic implants	3	not classifiable
Chlorinated drinking-water	3	not classifiable
Coal dust	3	not classifiable
"Coffee, drinking"	3	not classifiable
Dental materials	3	not classifiable
"Diesel fuels, distillate (light)"	3	not classifiable
"Electric fields, extremely low-frequency"	3	not classifiable
"Electric fields, static"	3	not classifiable
Flat-glass and specialty glass (manufacture of)	3	not classifiable
Fluorescent lighting	3	not classifiable
"Fuel oils, distillate (light)"	3	not classifiable
"Glass filament, continuous"	3	not classifiable
Hair colouring products (personal use of)	3	not classifiable
Human T-cell lymphotropic virus type II	3	not classifiable
Human papillomavirus (HPV) genus beta (except types 5 and 8) and genus gamma	3	not classifiable
Human papillomavirus (HPV) types 6 and 11	3	not classifiable
Hypochlorite salts	3	not classifiable
"Implanted foreign bodies of metallic chromium or titanium and of cobalt-based, chromium-based, and titanium-based alloys, and stainless steel"	3	not classifiable
Insulation glass wool	3	not classifiable
Isopropyl oils	3	not classifiable
Jet fuel	3	not classifiable
"Lead compounds, organic"	3	not classifiable
Leather goods manufacture (see also Leather dust)	3	not classifiable
Leather tanning and processing	3	not classifiable
Lumber and sawmill industries (including logging)	3	not classifiable
Madder root (Rubia tinctorum)	3	not classifiable
"Magnetic fields, static"	3	not classifiable
"Mate, not very hot (drinking)"	3	not classifiable
Metabisulfites	3	not classifiable
"Mineral oils, highly-refined"	3	not classifiable
Modacrylic fibres	3	not classifiable
Organic polymeric materials	3	not classifiable
Orthopaedic implants of complex composition and cardiac pacemakers	3	not classifiable
"Other cobalt(II) compounds (not including Soluble cobalt(II) salts, Cobalt(II) oxide, Cobalt(II,III) oxide, and Cobalt(II) sulfide)"	3	not classifiable
Paint manufacture (occupational exposure in)	3	not classifiable
Pentavalent antimony	3	not classifiable
Petroleum solvents	3	not classifiable
"Polychlorinated dibenzo-para-dioxins (other than 2,3,7,8-tetrachlorodibenzo-para-dioxin)"	3	not classifiable
"Polychlorinated dibenzofurans (see 2,3,4,7,8-Pentachlorodibenzofuran)"	3	not classifiable
Printing inks	3	not classifiable
Proflavine salts	3	not classifiable
Pulp and paper manufacture	3	not classifiable
Rock (stone) wool	3	not classifiable
SV40 polyomavirus	3	not classifiable
Silicone breast implants	3	not classifiable
Slag wool	3	not classifiable
Sulfites	3	not classifiable
Tea	3	not classifiable
Tetrakis(hydroxymethyl)phosphonium salts	3	not classifiable
Parasorbic acid	3	not classifiable
Chloropropham	3	not classifiable
Dinitrosopentamethylenetetramine	3	not classifiable
"4,4'-Methylenediphenyl diisocyanate"	3	not classifiable
meta-Cresidine	3	not classifiable
Triethanolamine	3	not classifiable
Phenicarbazide	3	not classifiable
Di(2-ethylhexyl) adipate	3	not classifiable
Azobenzene	3	not classifiable
Paracetamol (Acetaminophen)	3	not classifiable
Copper 8-hydroxyquinoline	3	not classifiable
para-Anisidine	3	not classifiable
para-Benzoquinone dioxime	3	not classifiable
"N,N'-Diethylthiourea"	3	not classifiable
Caprolactam	3	not classifiable
Lauroyl peroxide	3	not classifiable
Chloramine	3	not classifiable
para-Phenylenediamine	3	not classifiable
para-Quinone	3	not classifiable
Allyl chloride	3	not classifiable
Chloroacetonitrile	3	not classifiable
2-(1-Aziridinyl)ethanol	3	not classifiable
Diisopropyl ether	3	not classifiable
Succinic anhydride	3	not classifiable
meta-Phenylenediamine	3	not classifiable
Resorcinol	3	not classifiable
Bis(2-chloro-1-methylethyl)ether	3	not classifiable
Toluene	3	not classifiable
Cyclohexanone	3	not classifiable
Phenol	3	not classifiable
β-Picoline	3	not classifiable
"trans-1,4-Dichlorobutene"	3	not classifiable
Morpholine	3	not classifiable
Bis(2-chloroethyl)ether	3	not classifiable
2-Butoxyethanol	3	not classifiable
"Naphtho[1,2-b]fluoranthene"	3	not classifiable
Dithranol	3	not classifiable
Propylene	3	not classifiable
Dicofol	3	not classifiable
Tris(2-chloroethyl) phosphate	3	not classifiable
Aldicarb	3	not classifiable
Decabromodiphenyl oxide	3	not classifiable
Quercetin	3	not classifiable
2-Aminoanthraquinone	3	not classifiable
Anthranilic acid	3	not classifiable
"2,4,6-Trinitrotoluene"	3	not classifiable
Nodularins	3	not classifiable
4-Amino-2-nitrophenol	3	not classifiable
Isosafrole	3	not classifiable
Vitamin K substances	3	not classifiable
2-Amino-5-nitrothiazole	3	not classifiable
"N,N-Dimethylaniline"	3	not classifiable
3-Chloronitrobenzene	3	not classifiable
2-Amino-5-nitrophenol	3	not classifiable
Zineb	3	not classifiable
"Palygorskite (Attapulgite)(short fibres, < 5 micrometres)"	3	not classifiable
Aurothioglucose	3	not classifiable
Simazine	3	not classifiable
Propham	3	not classifiable
Rosiglitazone	3	not classifiable
Hydroquinone	3	not classifiable
Maleic hydrazide	3	not classifiable
Chlorodibromomethane	3	not classifiable
Maneb	3	not classifiable
Cyclochlorotine	3	not classifiable
Hydroxyurea	3	not classifiable
Sulfafurazole (Sulfisoxazole)	3	not classifiable
Butylated hydroxytoluene (BHT)	3	not classifiable
Vat Yellow 4	3	not classifiable
Pyrene	3	not classifiable
Blue VRS	3	not classifiable
Oxyphenbutazone	3	not classifiable
Medphalan	3	not classifiable
"Cobalt(II,III) oxide"	3	not classifiable
Ferric oxide	3	not classifiable
Yellow OB	3	not classifiable
Cobalt(II) sulfide	3	not classifiable
Haematite	3	not classifiable
"Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)"	3	not classifiable
Dibenzothiophene	3	not classifiable
Rifampicin	3	not classifiable
Captan	3	not classifiable
Xylenes	3	not classifiable
Iron sorbitol-citric acid complex	3	not classifiable
1-Naphthylamine	3	not classifiable
"1,2-Bis(chloromethoxy)ethane"	3	not classifiable
N-Phenyl-2-naphthylamine	3	not classifiable
"2,4,5-Trimethylaniline"	3	not classifiable
Thiram	3	not classifiable
Ziram	3	not classifiable
Shikimic acid	3	not classifiable
Cyclamates (sodium cyclamate)	3	not classifiable
Nithiazide	3	not classifiable
Wollastonite	3	not classifiable
Benzyl acetate	3	not classifiable
para-Dimethylaminoazobenzenediazo sodium sulfonate	3	not classifiable
Tannic acid and tannins	3	not classifiable
n-Butyl acrylate	3	not classifiable
"3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate"	3	not classifiable
Vinblastine sulfate	3	not classifiable
Methyl selenac	3	not classifiable
Ferbam	3	not classifiable
Sodium diethyldithiocarbamate	3	not classifiable
8-Hydroxyquinoline	3	not classifiable
Patulin	3	not classifiable
para-Aminobenzoic acid	3	not classifiable
Monuron	3	not classifiable
Dulcin	3	not classifiable
Eosin	3	not classifiable
Sepiolite	3	not classifiable
Isatidine	3	not classifiable
para-Nitrosodiphenylamine	3	not classifiable
Phenelzine sulfate	3	not classifiable
"2,2',5,5'-Tetrachlorobenzidine"	3	not classifiable
Trifluralin	3	not classifiable
Chromium (III) compounds	3	not classifiable
Gyromitrin	3	not classifiable
Bisphenol A diglycidyl ether (Araldite)	3	not classifiable
4-Hydroxyazobenzene	3	not classifiable
"Fluorides (inorganic, used in drinking-water)"	3	not classifiable
6-Methylchrysene	3	not classifiable
3-Methylfluoranthene	3	not classifiable
Coronene	3	not classifiable
Benzo[ghi]perylene	3	not classifiable
Anthanthrene	3	not classifiable
Atrazine	3	not classifiable
Picloram	3	not classifiable
"Dibenzo[h,rst]pentaphene"	3	not classifiable
"Dibenzo[e,l]pyrene"	3	not classifiable
"Dibenzo[a,e]pyrene"	3	not classifiable
Benzo[e]pyrene	3	not classifiable
"Naphtho[2,3-e]pyrene"	3	not classifiable
CI Orange G	3	not classifiable
Triethylene glycol diglycidyl ether	3	not classifiable
Benzo[g]chrysene	3	not classifiable
Perylene	3	not classifiable
3-Carbethoxypsoralen	3	not classifiable
11H-Benz[bc]aceanthrylene	3	not classifiable
4H-Cyclopenta[def]chrysene	3	not classifiable
7-Nitrobenz[a]anthracene	3	not classifiable
Benzo[ghi]fluoranthene	3	not classifiable
"Naphtho[2,1-a]fluoranthene"	3	not classifiable
Benzo[a]fluoranthene	3	not classifiable
Benzo[c]fluorene	3	not classifiable
3-Nitroperylene	3	not classifiable
Fluoranthene	3	not classifiable
Vincristine sulfate	3	not classifiable
"13H-Dibenzo[a,g]fluorene"	3	not classifiable
Ethyl tellurac	3	not classifiable
Benz[l]aceanthrylene	3	not classifiable
T2-Trichothecene	3	not classifiable
Picene	3	not classifiable
Benzo[b]chrysene	3	not classifiable
"Dibenz[a,c]anthracene"	3	not classifiable
Fluometuron	3	not classifiable
Bis(1-aziridinyl)morpholinophosphine sulfide	3	not classifiable
Triphenylene	3	not classifiable
Luteoskyrin	3	not classifiable
"1,4-Dimethylphenanthrene"	3	not classifiable
"Dibenz[a,j]anthracene"	3	not classifiable
"1,5-Naphthalenediamine"	3	not classifiable
Benz[a]acridine	3	not classifiable
Benz[c]acridine	3	not classifiable
Symphytine	3	not classifiable
Oestradiol mustard	3	not classifiable
"4,4'-Dimethylangelicin plus ultraviolet A radiation"	3	not classifiable
Diallate	3	not classifiable
Senkirkine	3	not classifiable
Hycanthone mesylate	3	not classifiable
Fast Green FCF	3	not classifiable
Rugulosin	3	not classifiable
Potassium bis(2-hydroxyethyl)dithiocarbamate	3	not classifiable
Benzo[a]fluorene	3	not classifiable
"Bis(2,3-epoxycyclopentyl)ether"	3	not classifiable
"Benzo[b]naphtho[2,1-d]thiophene"	3	not classifiable
CI Pigment Red 3	3	not classifiable
Benzo[b]fluorene	3	not classifiable
11-Aminoundecanoic acid	3	not classifiable
"cis-9,10-Epoxystearic acid"	3	not classifiable
para-Aramid fibrils	3	not classifiable
Vinyl toluene	3	not classifiable
Nylon 6	3	not classifiable
"Acepyrene (3,4-dihydrocyclopenta[cd]pyrene)"	3	not classifiable
Gemfibrozil	3	not classifiable
Dibenzo-para-dioxin	3	not classifiable
Ripazepam	3	not classifiable
Hydroxysenkirkine	3	not classifiable
Agaritine	3	not classifiable
Sunset Yellow FCF	3	not classifiable
Disperse Yellow 3	3	not classifiable
Allyl isovalerate	3	not classifiable
HC Red No. 3	3	not classifiable
Prednimustine	3	not classifiable
N-Nitrosofolic acid	3	not classifiable
Prazepam	3	not classifiable
Methyl parathion	3	not classifiable
Estazolam	3	not classifiable
Dichloroacetonitrile	3	not classifiable
N-Nitrosohydroxyproline	3	not classifiable
"Carbon nanotubes, multiwalled, other than MWCNT-7"	3	not classifiable
"Carbon nanotubes, single-walled"	3	not classifiable
Sudan II	3	not classifiable
Evans blue	3	not classifiable
Zectran	3	not classifiable
"1,5-Naphthalene diisocyanate"	3	not classifiable
HC Blue No. 2	3	not classifiable
Diazomethane	3	not classifiable
1-Methylchrysene	3	not classifiable
4-Methylchrysene	3	not classifiable
3-Methylchrysene	3	not classifiable
2-Methylchrysene	3	not classifiable
2-Methylfluoranthene	3	not classifiable
Carmoisine	3	not classifiable
N'-Nitrosoanabasine (NAB)	3	not classifiable
Isophosphamide	3	not classifiable
"Brilliant Blue FCF, disodium salt"	3	not classifiable
"1,2,3-Tris(chloromethoxy)propane"	3	not classifiable
"4,5',8-Trimethylpsoralen"	3	not classifiable
"4,5'-Dimethylangelicin plus ultraviolet A radiation"	3	not classifiable
Doxefazepam	3	not classifiable
Ethylene sulfide	3	not classifiable
Diazepam	3	not classifiable
Ponceau SX	3	not classifiable
5-Aminoacenaphthene	3	not classifiable
Guinea Green B	3	not classifiable
Retrorsine	3	not classifiable
Seneciphylline	3	not classifiable
"2,4'-Diphenyldiamine"	3	not classifiable
Methyl red	3	not classifiable
Acridine orange	3	not classifiable
Phenylbutazone	3	not classifiable
Clomiphene citrate	3	not classifiable
6-Mercaptopurine	3	not classifiable
Reserpine	3	not classifiable
Actinomycin D	3	not classifiable
Kojic acid	3	not classifiable
Pronetalol hydrochloride	3	not classifiable
Piperonyl butoxide	3	not classifiable
"2,4,6-Tris(1-aziridinyl)-s-triazine"	3	not classifiable
5-Fluorouracil	3	not classifiable
Chlorobenzilate	3	not classifiable
4-Chloro-meta-phenylenediamine	3	not classifiable
Light Green SF	3	not classifiable
Cimetidine	3	not classifiable
D & C Red No. 9	3	not classifiable
Fenvalerate	3	not classifiable
Citrinin	3	not classifiable
Spironolactone	3	not classifiable
Apholate	3	not classifiable
Trichlorfon	3	not classifiable
Kaempferol	3	not classifiable
CI Acid Orange 20	3	not classifiable
Angelicin plus ultraviolet A radiation	3	not classifiable
Permethrin	3	not classifiable
Deltamethrin	3	not classifiable
Prednisone	3	not classifiable
"1,4-Diamino-2-nitrobenzene"	3	not classifiable
Chrysoidine	3	not classifiable
Ethionamide	3	not classifiable
"Dibenzo[a,e]fluoranthene"	3	not classifiable
Chloroquine	3	not classifiable
Furosemide (Frusemide)	3	not classifiable
Isonicotinic acid hydrazide (Isoniazid)	3	not classifiable
meta-Dichlorobenzene	3	not classifiable
Malonaldehyde	3	not classifiable
Glycidyl oleate	3	not classifiable
Trichloroacetonitrile	3	not classifiable
Tris(1-aziridinyl)phosphine oxide	3	not classifiable
Ethyl selenac	3	not classifiable
Mannomustine dihydrochloride	3	not classifiable
N-Nitrosoguvacine	3	not classifiable
N-Nitrosoguvacoline	3	not classifiable
Cantharidin	3	not classifiable
Doxylamine succinate	3	not classifiable
Semicarbazide hydrochloride	3	not classifiable
"1,4-Bis(chloromethoxymethyl)benzene"	3	not classifiable
Malachite green (see also Leucomalachite green)	3	not classifiable
Allyl isothiocyanate	3	not classifiable
Tris(2-methyl-1-aziridinyl)phosphine oxide	3	not classifiable
Sulfamethazine	3	not classifiable
Cholesterol	3	not classifiable
Caffeine	3	not classifiable
Pyrimethamine	3	not classifiable
Theophylline	3	not classifiable
2-Nitronaphthalene	3	not classifiable
Methotrexate	3	not classifiable
Nitrofural (Nitrofurazone)	3	not classifiable
Aciclovir	3	not classifiable
Chlorofluoromethane	3	not classifiable
Methyl carbamate	3	not classifiable
HC Yellow No. 4	3	not classifiable
d-Limonene	3	not classifiable
Methimazole	3	not classifiable
Petasitenine	3	not classifiable
9-Nitroanthracene	3	not classifiable
Leucogentian violet (see also Gentian violet)	3	not classifiable
"2,6-Dichloro-para-phenylenediamine"	3	not classifiable
Amitrole	3	not classifiable
Chlordimeform	3	not classifiable
"3,5-Dinitrotoluene"	3	not classifiable
Thiourea	3	not classifiable
n-Propyl carbamate	3	not classifiable
Carbaryl	3	not classifiable
6-Nitrobenzo[a]pyrene	3	not classifiable
Sudan Red 7B	3	not classifiable
Clofibrate	3	not classifiable
CI Acid Orange 3	3	not classifiable
"1,2-Dihydroaceanthrylene"	3	not classifiable
Sudan Brown RR	3	not classifiable
Arsenobetaine and other organic arsenic compounds that are not metabolized in humans	3	not classifiable
Nitrofurantoin	3	not classifiable
Furazolidone	3	not classifiable
Isopropyl alcohol	3	not classifiable
Tris(aziridinyl)-para-benzoquinone (Triaziquone)	3	not classifiable
Jacobine	3	not classifiable
Ampicillin	3	not classifiable
Didanosine	3	not classifiable
Hexachlorophene	3	not classifiable
"5,6-Cyclopenteno-1,2-benzanthracene"	3	not classifiable
N'-Nitrosoanatabine (NAT)	3	not classifiable
Endrin	3	not classifiable
Methoxychlor	3	not classifiable
Methylene blue	3	not classifiable
Sulfamethoxazole	3	not classifiable
5-Methylangelicin plus ultraviolet A radiation	3	not classifiable
Methyl bromide	3	not classifiable
Ethylene	3	not classifiable
Methyl chloride	3	not classifiable
Methyl iodide	3	not classifiable
Bromoethane	3	not classifiable
Mercury and inorganic mercury compounds	3	not classifiable
"Chromium, metallic"	3	not classifiable
Sulfur dioxide	3	not classifiable
Glycidyl stearate	3	not classifiable
Chloroethane	3	not classifiable
Bromoform	3	not classifiable
Vinylidene fluoride	3	not classifiable
Chlorodifluoromethane	3	not classifiable
tert-Butyl alcohol	3	not classifiable
"2-Chloro-1,1,1-trifluoroethane"	3	not classifiable
N-Nitrosoproline	3	not classifiable
Dichloroacetylene	3	not classifiable
Pentachloroethane	3	not classifiable
"Silica, amorphous"	3	not classifiable
Hydrochloric acid	3	not classifiable
Hydrogen peroxide	3	not classifiable
Sodium chlorite	3	not classifiable
Selenium and selenium compounds	3	not classifiable
Methylglyoxal	3	not classifiable
2-Nitropyrene	3	not classifiable
"1,1,2-Trichloroethane"	3	not classifiable
Acrylic acid	3	not classifiable
Dihydroxymethylfuratrizine (see also Panfuran S)	3	not classifiable
Dapsone	3	not classifiable
Methyl methacrylate	3	not classifiable
Aziridyl benzoquinone	3	not classifiable
Terpene polychlorinates (Strobane®)	3	not classifiable
Crude oil	3	not classifiable
Acriflavinium chloride	3	not classifiable
Nitrovin	3	not classifiable
Saccharated iron oxide	3	not classifiable
Saccharin and its salts	3	not classifiable
Musk xylene	3	not classifiable
Rhodamine B	3	not classifiable
1-Amino-2-methylanthraquinone	3	not classifiable
Quintozene (Pentachloronitrobenzene)	3	not classifiable
Droloxifene	3	not classifiable
Dimethoxane	3	not classifiable
Acenaphthene	3	not classifiable
Diacetylaminoazotoluene	3	not classifiable
Musk ambrette	3	not classifiable
Theobromine	3	not classifiable
1-Methylphenanthrene	3	not classifiable
Bromochloroacetonitrile	3	not classifiable
Sudan I	3	not classifiable
Temazepam	3	not classifiable
Phenanthrene	3	not classifiable
Butyl benzyl phthalate	3	not classifiable
Scarlet Red	3	not classifiable
Yellow AB	3	not classifiable
Sudan III	3	not classifiable
3-(N-Nitrosomethylamino)propionaldehyde	3	not classifiable
"Pyrido[3,4-c]psoralen"	3	not classifiable
"7-Methylpyrido[3,4-c]psoralen"	3	not classifiable
N-Nitrosodiphenylamine	3	not classifiable
Hydralazine	3	not classifiable
1-Nitronaphthalene	3	not classifiable
Fluorene	3	not classifiable
1-Naphthylthiourea (ANTU)	3	not classifiable
Cinnamyl anthranilate	3	not classifiable
Hexachlorobutadiene	3	not classifiable
Ptaquiloside	3	not classifiable
"2,4,6-Trimethylaniline"	3	not classifiable
N-Vinyl-2-pyrrolidone	3	not classifiable
3-Nitrofluoranthene	3	not classifiable
Toremifene	3	not classifiable
ortho-Phenylphenol	3	not classifiable
Penicillic acid	3	not classifiable
"Carrageenan, native"	3	not classifiable
Polytetrafluoroethylene	3	not classifiable
Polyvinyl chloride	3	not classifiable
Polyethylene	3	not classifiable
Polyvinyl alcohol	3	not classifiable
Polyacrylic acid	3	not classifiable
Polypropylene	3	not classifiable
Polyvinyl acetate	3	not classifiable
Vinyl chloride-vinyl acetate copolymers	3	not classifiable
Polyvinyl pyrrolidone	3	not classifiable
Polystyrene	3	not classifiable
Styrene-acrylonitrile copolymers	3	not classifiable
Styrene-butadiene copolymers	3	not classifiable
Iron-dextrin complex	3	not classifiable
Polyurethane foams	3	not classifiable
Polychloroprene	3	not classifiable
Vinylidene chloride-vinyl chloride copolymers	3	not classifiable
Polymethyl methacrylate	3	not classifiable
Polymethylene polyphenyl isocyanate	3	not classifiable
"4,4',6-Trimethylangelicin plus ultraviolet A radiation"	3	not classifiable
Coumarin	3	not classifiable
"3,3'-Dimethoxybenzidine-4,4'-diisocyanate"	3	not classifiable
Amaranth	3	not classifiable
4-Nitrobiphenyl	3	not classifiable
Benzoyl peroxide	3	not classifiable
ortho-Dichlorobenzene	3	not classifiable
"2,4-Xylidine"	3	not classifiable
"2,5-Diaminotoluene"	3	not classifiable
"2,5-Xylidine"	3	not classifiable
5-Chloro-ortho-toluidine	3	not classifiable
Ethylenethiourea	3	not classifiable
gamma-Butyrolactone	3	not classifiable
Eugenol	3	not classifiable
Disulfiram	3	not classifiable
Furfural	3	not classifiable
Rhodamine 6G	3	not classifiable
Nitrotoluenes	3	not classifiable
5-Nitro-ortho-toluidine	3	not classifiable
"1,2-Diamino-4-nitrobenzene"	3	not classifiable
2-Amino-4-nitrophenol	3	not classifiable
5-Nitro-ortho-anisidine	3	not classifiable
"N-Methyl-N,4-dinitrosoaniline"	3	not classifiable
tert-Amyl methyl ether	3	not classifiable
